index,Universite Adi,Universite Turu
1,ihsan dogramaci bilkent,ozel
2,ihsan dogramaci bilkent,ozel
3,uluslararasi kibris universitesi,ozel
4,istanbul sehir universitesi,ozel
5,turgut ozal universitesi,ozel
6,istanbul ticaret universitesi,ozel
7,istanbul medipol universitesi,ozel
8,fatih sultan mehmet vakif,ozel
9,bahcesehir universitesi,ozel
10,istanbul ticaret universitesi,ozel
11,nuh naci yazgan universitesi,ozel
12,fatih universitesi,ozel
13,ihsan dogramaci bilkent,ozel
14,baskent universitesi,ozel
15,cag universitesi,ozel
16,izmir universitesi,ozel
17,zirve universitesi,ozel
18,istanbul sehir universitesi,ozel
19,yasar universitesi,ozel
20,ihsan dogramaci bilkent,ozel
21,istanbul arel universitesi,ozel
22,ted universitesi,ozel
23,fatih universitesi,ozel
24,yeni yuzyil universitesi,ozel
25,izmir ekonomi universitesi,ozel
26,istanbul bilgi universitesi,ozel
27,ihsan dogramaci bilkent,ozel
28,istanbul ticaret universitesi,ozel
29,ihsan dogramaci bilkent,ozel
30,istanbul gelisim universitesi,ozel
31,beykent universitesi,ozel
32,avrasya universitesi,ozel
33,okan universitesi,ozel
34,izmir ekonomi universitesi,ozel
35,istanbul bilgi universitesi,ozel
36,koc universitesi,ozel
37,okan universitesi,ozel
38,okan universitesi,ozel
39,halic universitesi,ozel
40,izmir universitesi,ozel
41,isik universitesi,ozel
42,turgut ozal universitesi,ozel
43,istanbul bilgi universitesi,ozel
44,atilim universitesi,ozel
45,izmir ekonomi universitesi,ozel
46,nisantasi universitesi,ozel
47,istanbul aydin universitesi,ozel
48,ufuk universitesi,ozel
49,bahcesehir universitesi,ozel
50,baskent universitesi,ozel
51,sabanci universitesi,ozel
52,fatih sultan mehmet vakif,ozel
53,ihsan dogramaci bilkent,ozel
54,ihsan dogramaci bilkent,ozel
55,istanbul 29 mayis universitesi,ozel
56,okan universitesi,ozel
57,maltepe universitesi,ozel
58,uluslararasi antalya universitesi,ozel
59,okan universitesi,ozel
60,baskent universitesi,ozel
61,istanbul 29 mayis universitesi,ozel
62,tobb ekonomi ve teknoloji,ozel
63,kto karatay universitesi,ozel
64,tobb ekonomi ve teknoloji,ozel
65,koc universitesi,ozel
66,istanbul arel universitesi,ozel
67,ihsan dogramaci bilkent,ozel
68,cankaya universitesi,ozel
69,bahcesehir universitesi,ozel
70,istanbul arel universitesi,ozel
71,izmir ekonomi universitesi,ozel
72,fatih universitesi,ozel
73,bahcesehir universitesi,ozel
74,koc universitesi,ozel
75,istanbul kultur universitesi,ozel
76,tobb ekonomi ve teknoloji,ozel
77,beykent universitesi,ozel
78,yeditepe universitesi,ozel
79,bahcesehir universitesi,ozel
80,yeditepe universitesi,ozel
81,izmir ekonomi universitesi,ozel
82,girne amerikan universitesi,ozel
83,istanbul gelisim universitesi,ozel
84,atilim universitesi,ozel
85,hasan kalyoncu universitesi,ozel
86,ihsan dogramaci bilkent,ozel
87,zirve universitesi,ozel
88,uskudar universitesi,ozel
89,izmir ekonomi universitesi,ozel
90,beykent universitesi,ozel
91,beykent universitesi,ozel
92,istanbul kultur universitesi,ozel
93,cankaya universitesi,ozel
94,bahcesehir universitesi,ozel
95,yeni yuzyil universitesi,ozel
96,yeditepe universitesi,ozel
97,ihsan dogramaci bilkent,ozel
98,istanbul aydin universitesi,ozel
99,nuh naci yazgan universitesi,ozel
100,baskent universitesi,ozel
101,meliksah universitesi,ozel
102,istanbul ticaret universitesi,ozel
103,izmir ekonomi universitesi,ozel
104,izmir ekonomi universitesi,ozel
105,istanbul aydin universitesi,ozel
106,yeni yuzyil universitesi,ozel
107,ufuk universitesi,ozel
108,ihsan dogramaci bilkent,ozel
109,istanbul bilgi universitesi,ozel
110,yeditepe universitesi,ozel
111,okan universitesi,ozel
112,canik basari universitesi,ozel
113,sabanci universitesi,ozel
114,izmir universitesi,ozel
115,cankaya universitesi,ozel
116,kadir has universitesi,ozel
117,beykent universitesi,ozel
118,tobb ekonomi ve teknoloji,ozel
119,beykent universitesi,ozel
120,ihsan dogramaci bilkent,ozel
121,yeditepe universitesi,ozel
122,cankaya universitesi,ozel
123,istanbul esenyurt universitesi,ozel
124,uluslararasi antalya universitesi,ozel
125,maltepe universitesi,ozel
126,istanbul kavram meslek,ozel
127,yeni yuzyil universitesi,ozel
128,kadir has universitesi,ozel
129,ihsan dogramaci bilkent,ozel
130,tobb ekonomi ve teknoloji,ozel
131,okan universitesi,ozel
132,fatih universitesi,ozel
133,istanbul kemerburgaz universitesi,ozel
134,koc universitesi,ozel
135,yakin dogu universitesi,ozel
136,baskent universitesi,ozel
137,ihsan dogramaci bilkent,ozel
138,yasar universitesi,ozel
139,cankaya universitesi,ozel
140,tobb ekonomi ve teknoloji,ozel
141,girne amerikan universitesi,ozel
142,fatih universitesi,ozel
143,koc universitesi,ozel
144,fatih universitesi,ozel
145,bahcesehir universitesi,ozel
146,ihsan dogramaci bilkent,ozel
147,istanbul aydin universitesi,ozel
148,tobb ekonomi ve teknoloji,ozel
149,okan universitesi,ozel
150,yeditepe universitesi,ozel
151,beykent universitesi,ozel
152,gediz universitesi,ozel
153,gedik universitesi,ozel
154,istanbul gelisim universitesi,ozel
155,yeditepe universitesi,ozel
156,istanbul bilim universitesi,ozel
157,yeditepe universitesi,ozel
158,halic universitesi,ozel
159,sabanci universitesi,ozel
160,cankaya universitesi,ozel
161,turgut ozal universitesi,ozel
162,ufuk universitesi,ozel
163,yasar universitesi,ozel
164,yasar universitesi,ozel
165,beykent universitesi,ozel
166,istanbul bilgi universitesi,ozel
167,ihsan dogramaci bilkent,ozel
168,maltepe universitesi,ozel
169,ihsan dogramaci bilkent,ozel
170,tobb ekonomi ve teknoloji,ozel
171,kadir has universitesi,ozel
172,yeditepe universitesi,ozel
173,okan universitesi,ozel
174,sifa universitesi,ozel
175,yasar universitesi,ozel
176,tobb ekonomi ve teknoloji,ozel
177,yeditepe universitesi,ozel
178,isik universitesi,ozel
179,ozyegin universitesi,ozel
180,izmir ekonomi universitesi,ozel
181,istanbul ticaret universitesi,ozel
182,ihsan dogramaci bilkent,ozel
183,izmir ekonomi universitesi,ozel
184,isik universitesi,ozel
185,gediz universitesi,ozel
186,istanbul ticaret universitesi,ozel
187,yasar universitesi,ozel
188,ihsan dogramaci bilkent,ozel
189,toros universitesi,ozel
190,koc universitesi,ozel
191,istanbul aydin universitesi,ozel
192,ihsan dogramaci bilkent,ozel
193,turgut ozal universitesi,ozel
194,koc universitesi,ozel
195,istanbul bilgi universitesi,ozel
196,fatih sultan mehmet vakif,ozel
197,ozyegin universitesi,ozel
198,istanbul sehir universitesi,ozel
199,zirve universitesi,ozel
200,koc universitesi,ozel
201,piri reis universitesi,ozel
202,istanbul bilgi universitesi,ozel
203,atilim universitesi,ozel
204,cankaya universitesi,ozel
205,istanbul aydin universitesi,ozel
206,istanbul kultur universitesi,ozel
207,uluslararasi antalya universitesi,ozel
208,ihsan dogramaci bilkent,ozel
209,atilim universitesi,ozel
210,meliksah universitesi,ozel
211,istanbul arel universitesi,ozel
212,yakin dogu universitesi,ozel
213,dogu akdeniz universitesi,ozel
214,tobb ekonomi ve teknoloji,ozel
215,beykent universitesi,ozel
216,maltepe universitesi,ozel
217,tobb ekonomi ve teknoloji,ozel
218,koc universitesi,ozel
219,isik universitesi,ozel
220,beykent universitesi,ozel
221,yeditepe universitesi,ozel
222,ihsan dogramaci bilkent,ozel
223,okan universitesi,ozel
224,zirve universitesi,ozel
225,uludag universitesi,devlet
226,dogu akdeniz universitesi,ozel
227,bahcesehir universitesi,ozel
228,istanbul bilgi universitesi,ozel
229,fatih universitesi,ozel
230,istanbul arel universitesi,ozel
231,istanbul gelisim universitesi,ozel
232,nisantasi universitesi,ozel
